Conversion_ID,Order_ID,Order_Date,Country,Channel,Campaign_ID,Campaign_Name,Customer_ID,Conversion_Type,Attributed_Revenue
CONV-002080,ORD-003640,2024-08-26,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-008219,Purchase,2375.45
CONV-002081,ORD-INVALID-002080,2024-02-14,France,Organic Search,,,CUST-017639,Assisted Purchase,855.83
CONV-002082,ORD-007523,2024-05-01,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-004194,Purchase,732.09
CONV-002083,ORD-003436,2024-11-06,France,Direct,,,CUST-001710,Assisted Purchase,533.71
CONV-002084,ORD-007935,2024-12-01,Spain,Google Ads,CAMP-ES-GGL-049,Christmas Search ES,CUST-005202,Purchase,171.47
CONV-002085,ORD-004424,2024-05-25,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-003846,Purchase,981.04
CONV-002086,ORD-003934,2024-09-09,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-012861,Purchase,1411.59
CONV-002087,ORD-012882,2024-01-18,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-003771,Purchase,1563.71
CONV-002088,ORD-011992,2024-12-28,Spain,Meta Ads,CAMP-ES-MTA-022,Christmas Inspiration ES,CUST-000360,Purchase,1368.28
CONV-002089,ORD-005443,2024-07-07,France,Organic Search,,,CUST-005556,Purchase,75.51
CONV-002090,ORD-007417,2024-07-01,France,Email Marketing,CAMP-FR-EML-012,Seasonal Promotion FR,CUST-016829,Purchase,1092.16
CONV-002091,ORD-012720,2024-11-27,Spain,Google Ads,CAMP-ES-GGL-021,Black Friday Search ES,CUST-011308,Purchase,1010.51
CONV-002092,ORD-012038,2024-05-18,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,CUST-017809,Purchase,1888.84
CONV-002093,ORD-009412,2024-09-22,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,CUST-005669,Assisted Purchase,399.47
CONV-002094,ORD-000084,2024-03-08,Portugal,Google Ads,CAMP-PT-GGL-046,home decor search pt,CUST-005706,Assisted Purchase,795.39
CONV-002095,ORD-004063,2024-05-23,Portugal,Organic Search,,,CUST-001766,Purchase,480.04
CONV-002096,ORD-005127,2024-08-27,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-013335,Assisted Purchase,258.88
CONV-002097,ORD-004394,2024-07-19,Spain,Direct,,,CUST-003492,Purchase,580.33
CONV-002098,ORD-008810,2024-05-05,Portugal,Google Ads,CAMP-PT-GGL-046,Home Decor Search PT,CUST-003722,Purchase,754.00
CONV-002099,ORD-006753,2024-02-17,France,Email Marketing,CAMP-FR-EML-042,Newsletter FR,CUST-007884,Purchase,309.73
CONV-002100,ORD-003326,2024-07-02,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-018842,Purchase,339.35
CONV-002101,ORD-012524,2024-07-30,France,Organic Search,,,CUST-001090,Purchase,499.68
CONV-002102,ORD-005002,2024-12-03,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,CUST-012995,Purchase,645.69
CONV-002103,ORD-005466,2024-08-22,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-019274,Purchase,1465.59
CONV-002104,ORD-001295,2024-11-18,France,Direct,,,CUST-008245,Purchase,1416.87
CONV-002105,ORD-008587,2024-12-04,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-015927,Assisted Purchase,641.89
CONV-002106,ORD-005200,2024-07-26,Spain,Meta Ads,CAMP-ES-MTA-014,Spain Expansion ES,CUST-012738,Purchase,223.86
CONV-002107,ORD-008367,2024-01-07,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,CUST-019713,Purchase,1026.24
CONV-002108,ORD-012658,2024-07-26,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-013064,Purchase,296.11
CONV-002109,ORD-012629,2024-05-27,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-008470,Purchase,266.23
CONV-002110,ORD-008556,2024-02-18,France,Organic Search,,,CUST-003689,Purchase,964.16
CONV-002111,ORD-006317,2024-09-14,France,Direct,,,CUST-004678,Assisted Purchase,1301.93
CONV-002112,ORD-006627,2024-08-17,France,Meta Ads,CAMP-FR-MTA-011,Spring Collection FR,CUST-007055,Purchase,295.61
CONV-002113,ORD-011505,2024-12-22,Spain,Google Ads,CAMP-ES-GGL-049,Christmas Search ES,CUST-007412,Purchase,2100.62
CONV-002114,ORD-001702,2024-02-23,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-014058,Purchase,244.46
CONV-002115,ORD-000363,2024-01-06,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,CUST-010194,Purchase,661.33
CONV-002116,ORD-006407,2024-09-19,Portugal,Email Marketing,CAMP-PT-EML-038,Loyal Customer Offer PT,CUST-004440,Purchase,2516.09
CONV-002117,ORD-010705,2024-11-15,France,Direct,,,CUST-009467,Purchase,301.52
CONV-002118,ORD-003369,2024-12-05,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-014637,Purchase,465.18
CONV-002119,ORD-011943,2024-06-18,Portugal,Meta Ads,CAMP-PT-MTA-025,Summer Living PT,CUST-018601,Purchase,209.92
CONV-002120,ORD-010487,2024-04-08,Portugal,Email Marketing,CAMP-PT-EML-033,Newsletter PT,CUST-013745,Purchase,774.60
CONV-002121,ORD-006650,2024-06-13,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-018348,Purchase,2001.82
CONV-002122,ORD-008180,2024-11-16,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-008087,Purchase,711.23
CONV-002123,ORD-008807,2024-07-07,Portugal,Email Marketing,CAMP-PT-EML-026,Seasonal Promotion PT,CUST-010951,Purchase,1241.32
CONV-002124,ORD-006690,2024-10-07,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-016613,Purchase,448.31
CONV-002125,ORD-007819,2024-06-28,Spain,Meta Ads,CAMP-ES-MTA-029,Summer Living ES,CUST-014913,Purchase,560.20
CONV-002126,ORD-000514,2024-11-11,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-001827,Assisted Purchase,2874.98
CONV-002127,ORD-008389,2024-06-10,France,Organic Search,,,CUST-008454,Assisted Purchase,1774.71
CONV-002128,ORD-012191,2024-04-17,Portugal,Organic Search,,,CUST-015815,Purchase,824.97
CONV-002129,ORD-006060,2024-07-01,France,Email Marketing,CAMP-FR-EML-012,Seasonal Promotion FR,CUST-012542,Purchase,1445.76
CONV-002130,ORD-009489,2024-01-14,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,CUST-012483,Purchase,683.94
CONV-002131,ORD-009594,2024-08-09,Spain,Organic Search,,,CUST-006813,Purchase,361.68
CONV-002132,ORD-012779,2024-08-02,Spain,Email Marketing,CAMP-ES-EML-030,Product Launch ES,CUST-010164,Purchase,1059.97
CONV-002133,ORD-012708,2024-06-18,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-003972,Purchase,1801.47
CONV-002134,ORD-005702,2024-05-08,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,CUST-011752,Purchase,1401.40
CONV-002135,ORD-006091,2024-02-09,Spain,Direct,,,CUST-002017,Purchase,1284.23
CONV-002136,ORD-005054,2024-04-11,Portugal,Organic Search,,,CUST-008028,Purchase,393.55
CONV-002137,ORD-006563,2024-06-19,France,Direct,,,CUST-001010,Purchase,5911.18
CONV-002138,ORD-001266,2024-10-15,Spain,Organic Search,,,CUST-015046,Purchase,615.49
CONV-002139,ORD-009304,2024-09-10,Portugal,Meta Ads,CAMP-PT-MTA-044,Christmas Inspiration PT,CUST-013439,Purchase,585.50
CONV-002140,ORD-007939,2024-04-10,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-012634,Purchase,649.22
CONV-002141,ORD-007290,2024-07-21,Spain,Google Ads,CAMP-ES-GGL-043,Home Decor Search ES,CUST-001863,Purchase,506.00
CONV-002142,ORD-005229,2024-07-24,Spain,Meta Ads,CAMP-ES-MTA-029,Summer Living ES,CUST-009059,Assisted Purchase,1989.66
CONV-002143,ORD-006450,2024-07-04,Portugal,Organic Search,,,CUST-001437,Assisted Purchase,170.41
CONV-002144,ORD-012893,2024-04-20,France,Direct,,,CUST-012496,Purchase,527.82
CONV-002145,ORD-004656,2024-11-14,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-003177,Purchase,2912.69
CONV-002146,ORD-012396,2024-03-30,Spain,Google Ads,CAMP-ES-GGL-043,Home Decor Search ES,CUST-014974,Assisted Purchase,472.45
CONV-002147,ORD-011853,2024-05-07,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-008390,Purchase,508.35
CONV-002148,ORD-000893,2024-05-09,France,Organic Search,,,CUST-007878,Purchase,744.50
CONV-002149,ORD-005680,2024-09-20,France,Organic Search,,,CUST-006590,Purchase,230.77
CONV-002150,ORD-009505,2024-07-11,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-007598,Purchase,717.09
CONV-002151,ORD-009601,2024-12-05,France,Organic Search,,,CUST-015558,Purchase,534.19
CONV-002152,ORD-006983,2024-03-05,France,Organic Search,,,CUST-013900,Assisted Purchase,1291.57
CONV-002153,ORD-008004,2024-05-28,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,CUST-010621,Purchase,1062.64
CONV-002154,ORD-001741,2024-01-20,France,Direct,,,CUST-015216,Purchase,2561.67
CONV-002155,ORD-012288,2024-09-28,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-007507,Assisted Purchase,1361.22
CONV-002156,ORD-012988,2024-01-08,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,CUST-006209,Purchase,998.33
CONV-002157,ORD-001096,2024-01-27,France,Organic Search,,,CUST-014672,Purchase,2247.91
CONV-002158,ORD-009671,2024-04-26,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-015119,Purchase,1318.86
CONV-002159,ORD-004007,2024-11-09,Spain,Meta Ads,CAMP-ES-MTA-045,Black Friday Campaign ES,CUST-019284,Purchase,735.92
CONV-002160,ORD-001863,2024-01-28,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,CUST-008296,Purchase,241.10
CONV-002161,ORD-011858,2024-08-11,France,Email Marketing,CAMP-FR-EML-042,Newsletter FR,CUST-017918,Purchase,150.54
CONV-002162,ORD-011191,2024-10-27,Spain,Organic Search,,,CUST-005091,Purchase,1148.05
CONV-002163,ORD-003998,2024-10-27,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-017209,Purchase,201.49
CONV-002164,ORD-012144,2024-10-09,France,Organic Search,,,CUST-014048,Purchase,1440.66
CONV-002165,ORD-005423,2024-07-21,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-018128,Purchase,1200.25
CONV-002166,ORD-007399,2024-09-22,France,Organic Search,,,CUST-013774,Purchase,2258.08
CONV-002167,ORD-001852,2024-12-26,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-012325,Purchase,588.48
CONV-002168,ORD-006966,2024-09-22,Portugal,Meta Ads,CAMP-PT-MTA-032,Spring Collection PT,CUST-016917,Purchase,2837.59
CONV-002169,ORD-005987,2024-08-24,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-001146,Purchase,1425.32
CONV-002170,ORD-004487,2024-05-23,France,Direct,,,CUST-014131,Purchase,338.43
CONV-002171,ORD-012881,2024-11-05,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-011596,Purchase,462.25
CONV-002172,ORD-011443,2024-08-13,France,Organic Search,,,CUST-004291,Assisted Purchase,1941.02
CONV-002173,ORD-009768,2024-12-31,Spain,Meta Ads,CAMP-ES-MTA-022,Christmas Inspiration ES,CUST-010931,Purchase,555.37
CONV-002174,ORD-006876,2024-01-30,France,Direct,,,CUST-012423,Purchase,697.41
CONV-002175,ORD-006422,2024-07-15,Spain,Google Ads,CAMP-ES-GGL-021,Black Friday Search ES,CUST-012698,Purchase,327.19
CONV-002176,ORD-008699,2024-08-02,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-006893,Purchase,285.13
CONV-002177,ORD-007313,2024-10-21,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-014797,Purchase,134.90
CONV-002178,ORD-006017,2024-04-27,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-013938,Purchase,2923.95
CONV-002179,ORD-005336,2024-04-30,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-016396,Purchase,1197.94
CONV-002180,ORD-013114,2024-05-27,France,Direct,,,CUST-014675,Assisted Purchase,1839.46
CONV-002181,ORD-002790,2024-10-20,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-004556,Purchase,1429.66
CONV-002182,ORD-003432,2024-04-21,France,Organic Search,,,CUST-000849,Purchase,522.28
CONV-002183,ORD-008471,2024-11-04,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-010015,Assisted Purchase,445.88
CONV-002184,ORD-004101,2024-12-02,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-000080,Purchase,1934.80
CONV-002185,ORD-012177,2024-04-19,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-004465,Purchase,170.64
CONV-002186,ORD-012339,2024-09-29,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-019951,Purchase,806.95
CONV-002187,ORD-002309,2024-10-29,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-009853,Purchase,1402.13
CONV-002188,ORD-009571,2024-10-07,France,Email Marketing,CAMP-FR-EML-012,Seasonal Promotion FR,CUST-009765,Purchase,1157.03
CONV-002189,ORD-012358,2024-06-30,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-008423,Purchase,2179.90
CONV-002190,ORD-010089,2024-01-22,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,CUST-004182,Purchase,63.81
CONV-002191,ORD-001850,2024-07-16,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-019684,Purchase,1743.79
CONV-002192,ORD-008572,2024-02-23,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-011442,Purchase,1685.03
CONV-002193,ORD-005072,2024-11-21,Portugal,Email Marketing,CAMP-PT-EML-038,Loyal Customer Offer PT,CUST-006394,Purchase,613.20
CONV-002194,ORD-007037,2024-04-14,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-005672,Purchase,1019.03
CONV-002195,ORD-001193,2024-12-21,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-008320,Purchase,631.75
CONV-002196,ORD-006338,2024-11-09,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-011414,Purchase,598.96
CONV-002197,ORD-000418,2024-12-11,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-004771,Purchase,1483.26
CONV-002198,ORD-013341,2024-11-11,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-016110,Purchase,1927.49
CONV-002199,ORD-001716,2024-11-30,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-013197,Purchase,1273.83
CONV-002200,ORD-008764,2024-09-11,France,Meta Ads,CAMP-FR-MTA-011,Spring Collection FR,CUST-002864,Purchase,578.19
CONV-002201,ORD-012087,2024-12-24,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-001719,Purchase,1369.71
CONV-002202,ORD-003683,2024-01-16,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-017310,Purchase,276.49
CONV-002203,ORD-001208,2024-03-17,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,CUST-019075,Purchase,915.15
CONV-002204,ORD-007849,2024-10-24,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-006921,Purchase,1774.43
CONV-002205,ORD-011436,2024-09-08,France,Organic Search,,,CUST-016764,Purchase,2599.57
CONV-002206,ORD-004102,2024-12-27,France,Organic Search,,,CUST-017479,Purchase,1644.92
CONV-002207,ORD-008254,2024-01-25,France,Organic Search,,,CUST-012442,Purchase,973.33
CONV-002208,ORD-004933,2024-11-24,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-012394,Purchase,349.89
CONV-002209,ORD-010293,2024-06-09,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-018017,Purchase,685.96
CONV-002210,ORD-005243,2024-05-28,France,Organic Search,,,CUST-011811,Purchase,357.34
CONV-002211,ORD-002471,2024-09-20,Spain,Email Marketing,CAMP-ES-EML-023,Newsletter ES,CUST-019694,Purchase,914.68
CONV-002212,ORD-006810,2024-12-10,France,Organic Search,,,CUST-002112,Purchase,532.85
CONV-002213,ORD-002669,2024-06-03,Spain,Email Marketing,CAMP-ES-EML-030,Product Launch ES,CUST-013077,Purchase,674.24
CONV-002214,ORD-000643,2024-11-07,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-013199,Purchase,1049.75
CONV-002215,ORD-009069,2024-12-12,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-010535,Assisted Purchase,527.69
CONV-002216,ORD-007574,2024-01-05,France,Organic Search,,,CUST-004877,Purchase,905.33
CONV-002217,ORD-007572,2024-08-18,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,CUST-014439,Assisted Purchase,1295.30
CONV-002218,ORD-008834,2024-09-03,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-008358,Purchase,1029.47
CONV-002219,ORD-006167,2024-11-19,Spain,Meta Ads,CAMP-ES-MTA-045,Black Friday Campaign ES,CUST-013800,Purchase,847.20
CONV-002220,ORD-003546,2024-11-18,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-001217,Purchase,637.97
CONV-002221,ORD-003158,2024-07-24,Portugal,Google Ads,CAMP-PT-GGL-016,Black Friday Search PT,CUST-015092,Purchase,701.48
CONV-002222,ORD-006804,2024-06-18,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-008793,Purchase,237.78
CONV-002223,ORD-002566,2024-07-15,France,Organic Search,,,CUST-014917,Purchase,175.98
CONV-002224,ORD-012620,2024-12-19,Portugal,Google Ads,CAMP-PT-GGL-024,Christmas Search PT,CUST-000034,Purchase,74.32
CONV-002225,ORD-012252,2024-11-17,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-001085,Assisted Purchase,155.03
CONV-002226,ORD-013045,2024-09-05,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-018621,Assisted Purchase,458.01
CONV-002227,ORD-002899,2024-09-08,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-008018,Purchase,382.20
CONV-002228,ORD-005140,2024-01-01,Spain,Organic Search,,,CUST-012021,Purchase,372.20
CONV-002229,ORD-010477,2024-03-15,France,Organic Search,,,CUST-011070,Purchase,600.83
CONV-002230,ORD-005471,2024-11-04,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-016922,Purchase,2044.17
CONV-002231,ORD-013539,2024-12-15,France,Direct,,,CUST-002968,Assisted Purchase,1760.68
CONV-002232,ORD-001987,2024-06-30,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-007108,Purchase,2566.48
CONV-002233,ORD-003810,2024-11-05,France,Email Marketing,CAMP-FR-EML-020,Loyal Customer Offer FR,CUST-000516,Purchase,614.90
CONV-002234,ORD-011639,2024-11-24,France,Organic Search,,,CUST-002108,Purchase,326.20
CONV-002235,ORD-012995,2024-12-31,France,Email Marketing,CAMP-FR-EML-012,Seasonal Promotion FR,CUST-011016,Assisted Purchase,1617.80
CONV-002236,ORD-010406,2024-10-14,Spain,Meta Ads,CAMP-ES-MTA-014,Spain Expansion ES,CUST-014557,Purchase,320.46
CONV-002237,ORD-010782,2024-07-09,Spain,Email Marketing,CAMP-ES-EML-015,Seasonal Promotion ES,CUST-018998,Purchase,873.30
CONV-002238,ORD-001747,2024-07-07,France,Direct,,,CUST-009349,Purchase,955.98
CONV-002239,ORD-010020,2024-11-15,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-004814,Purchase,433.70
CONV-002240,ORD-012657,2024-09-17,France,Direct,,,CUST-001320,Purchase,831.19
CONV-002241,ORD-013523,2024-10-04,France,Direct,,,CUST-007988,Purchase,1078.51
CONV-002242,ORD-004265,2024-02-12,France,Organic Search,,,CUST-003732,Purchase,754.19
CONV-002243,ORD-011784,2024-12-22,France,Direct,,,CUST-016608,Purchase,1311.85
CONV-002244,ORD-008907,2024-09-30,Spain,Google Ads,CAMP-ES-GGL-013,Brand Search ES,CUST-017856,Purchase,642.32
CONV-002245,ORD-011585,2024-03-07,France,Organic Search,,,CUST-010548,Purchase,1294.26
CONV-002246,ORD-004926,2024-11-28,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-009865,Purchase,1007.41
CONV-002247,ORD-009449,2024-06-04,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-017264,Purchase,386.36
CONV-002248,ORD-009764,2024-01-30,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-014863,Purchase,939.63
CONV-002249,ORD-001000,2024-07-30,France,Organic Search,,,CUST-017010,Purchase,658.93
CONV-002250,ORD-001486,2024-01-27,France,Direct,,,CUST-014042,Assisted Purchase,703.34
CONV-002251,ORD-008595,2024-12-31,France,Email Marketing,CAMP-FR-EML-012,Seasonal Promotion FR,CUST-012856,Purchase,977.96
CONV-002252,ORD-011173,2024-07-23,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-018333,Purchase,641.67
CONV-002253,ORD-000659,2024-09-04,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-010436,Purchase,325.73
CONV-002254,ORD-010825,2024-04-11,France,Email Marketing,CAMP-FR-EML-012,Seasonal Promotion FR,CUST-007122,Purchase,789.34
CONV-002255,ORD-004169,2024-12-18,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-008987,Assisted Purchase,176.47
CONV-002256,ORD-008011,2024-12-08,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-007129,Purchase,192.68
CONV-002257,ORD-011225,2024-04-03,France,Organic Search,,,CUST-005026,Purchase,1795.72
CONV-002258,ORD-004430,2024-11-29,Portugal,Google Ads,CAMP-PT-GGL-016,Black Friday Search PT,CUST-000628,Assisted Purchase,1784.36
CONV-002259,ORD-009794,2024-06-10,Spain,Organic Search,,,CUST-007644,Purchase,2461.99
CONV-002260,ORD-005164,2024-08-18,France,Organic Search,,,CUST-017170,Purchase,817.84
CONV-002261,ORD-002253,2024-03-06,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-017174,Purchase,299.05
CONV-002262,ORD-010433,2024-11-30,Portugal,Meta Ads,CAMP-PT-MTA-017,Black Friday Campaign PT,CUST-005828,Purchase,142.12
CONV-002263,ORD-012680,2024-04-27,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-008104,Purchase,303.70
CONV-002264,ORD-002914,2024-12-09,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-008264,Purchase,200.67
CONV-002265,ORD-009814,2024-02-22,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-012197,Purchase,119.12
CONV-002266,ORD-008524,2024-06-22,Spain,Organic Search,,,CUST-008662,Purchase,694.25
CONV-002267,ORD-007810,2024-11-19,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-008960,Purchase,1562.91
CONV-002268,ORD-003837,2024-12-13,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-000983,Purchase,1157.79
CONV-002269,ORD-007386,2024-11-19,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-015736,Purchase,481.99
CONV-002270,ORD-000699,2024-09-24,Spain,Email Marketing,CAMP-ES-EML-030,Product Launch ES,CUST-005766,Purchase,455.44
CONV-002271,ORD-008574,2024-10-27,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-019185,Purchase,821.15
CONV-002272,ORD-007139,2024-06-11,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-008951,Purchase,784.18
CONV-002273,ORD-002311,2024-11-09,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-005473,Assisted Purchase,942.82
CONV-002274,ORD-006307,2024-12-17,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-010427,Purchase,634.63
CONV-002275,ORD-005062,2024-11-17,Spain,Meta Ads,CAMP-ES-MTA-045,Black Friday Campaign ES,CUST-000610,Assisted Purchase,1285.22
CONV-002276,ORD-004854,2024-03-09,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-002085,Purchase,1355.25
CONV-002277,ORD-009415,2024-12-05,Spain,Google Ads,CAMP-ES-GGL-049,Christmas Search ES,CUST-019408,Purchase,1789.00
CONV-002278,ORD-010012,2024-12-24,France,Organic Search,,,CUST-004970,Purchase,516.73
CONV-002279,ORD-013453,2024-02-26,Portugal,Meta Ads,CAMP-PT-MTA-032,Spring Collection PT,CUST-012863,Purchase,932.38
CONV-002280,ORD-008261,2024-04-03,France,Direct,,,CUST-005559,Assisted Purchase,805.59
CONV-002281,ORD-010377,2024-11-13,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-003020,Assisted Purchase,1816.03
CONV-002282,ORD-005386,2024-04-26,Portugal,Meta Ads,CAMP-PT-MTA-025,Summer Living PT,CUST-006722,Purchase,126.97
CONV-002283,ORD-005788,2024-09-23,Spain,Meta Ads,CAMP-ES-MTA-014,Spain Expansion ES,CUST-006165,Purchase,437.54
CONV-002284,ORD-007217,2024-12-10,France,Direct,,,CUST-011414,Purchase,867.01
CONV-002285,ORD-012724,2024-06-13,Spain,Organic Search,,,CUST-014996,Purchase,891.42
CONV-002286,ORD-010969,2024-11-05,Spain,Google Ads,CAMP-ES-GGL-021,Black Friday Search ES,CUST-003286,Purchase,5988.83
CONV-002287,ORD-003474,2024-10-18,France,Meta Ads,CAMP-FR-MTA-011,Spring Collection FR,CUST-005852,Purchase,2846.71
CONV-002288,ORD-000297,2024-07-17,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-010767,Purchase,1052.97
CONV-002289,ORD-013243,2024-12-27,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-010490,Purchase,107.33
CONV-002290,ORD-001737,2024-09-11,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-019198,Purchase,551.91
CONV-002291,ORD-008384,2024-10-16,Portugal,Meta Ads,CAMP-PT-MTA-025,Summer Living PT,CUST-014287,Purchase,1367.85
CONV-002292,ORD-010375,2024-02-09,France,Organic Search,,,CUST-012545,Purchase,558.30
CONV-002293,ORD-006145,2024-11-24,Spain,Email Marketing,CAMP-ES-EML-048,Welcome Series ES,CUST-000914,Purchase,219.31
CONV-002294,ORD-003333,2024-10-19,Spain,Email Marketing,CAMP-ES-EML-048,Welcome Series ES,CUST-005728,Purchase,681.85
